"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","AGRWTH","A","1951",2.97113233154413,
"AUS","POP","TOT","AGRWTH","A","1952",2.55055392616693,
"AUS","POP","TOT","AGRWTH","A","1953",2.07028310079315,
"AUS","POP","TOT","AGRWTH","A","1954",1.94207797806087,
"AUS","POP","TOT","AGRWTH","A","1955",2.37244756022923,
"AUS","POP","TOT","AGRWTH","A","1956",2.4544278617781,
"AUS","POP","TOT","AGRWTH","A","1957",2.27786324332927,
"AUS","POP","TOT","AGRWTH","A","1958",2.09746685753408,
"AUS","POP","TOT","AGRWTH","A","1959",2.1742664390799,
"AUS","POP","TOT","AGRWTH","A","1960",2.17374010580327,
"AUS","POP","TOT","AGRWTH","A","1961",2.26958637469586,
"AUS","POP","TOT","AGRWTH","A","1962",1.82999942901734,
"AUS","POP","TOT","AGRWTH","A","1963",1.92888182795197,
"AUS","POP","TOT","AGRWTH","A","1964",1.96847866946612,
"AUS","POP","TOT","AGRWTH","A","1965",1.97183858437635,
"AUS","POP","TOT","AGRWTH","A","1966",2.28022467352679,
"AUS","POP","TOT","AGRWTH","A","1967",1.72059170146846,
"AUS","POP","TOT","AGRWTH","A","1968",1.77604555203381,
"AUS","POP","TOT","AGRWTH","A","1969",2.11830070611689,
"AUS","POP","TOT","AGRWTH","A","1970",1.99245470974754,
"AUS","POP","TOT","AGRWTH","A","1971",4.4766960608519,
"AUS","POP","TOT","AGRWTH","A","1972",1.80909318055461,
"AUS","POP","TOT","AGRWTH","A","1973",1.50991486255215,
"AUS","POP","TOT","AGRWTH","A","1974",1.61451654251334,
"AUS","POP","TOT","AGRWTH","A","1975",1.24192470929828,
"AUS","POP","TOT","AGRWTH","A","1976",1.00833549569405,
"AUS","POP","TOT","AGRWTH","A","1977",1.13411286742906,
"AUS","POP","TOT","AGRWTH","A","1978",1.17684784509613,
"AUS","POP","TOT","AGRWTH","A","1979",1.08970834489672,
"AUS","POP","TOT","AGRWTH","A","1980",1.23746454621742,
"AUS","POP","TOT","AGRWTH","A","1981",1.55085729124221,
"AUS","POP","TOT","AGRWTH","A","1982",1.74886050367011,
"AUS","POP","TOT","AGRWTH","A","1983",1.3779083019395,
"AUS","POP","TOT","AGRWTH","A","1984",1.20777820624223,
"AUS","POP","TOT","AGRWTH","A","1985",1.34100877242249,
"AUS","POP","TOT","AGRWTH","A","1986",1.45701453074908,
"AUS","POP","TOT","AGRWTH","A","1987",1.53276710772333,
"AUS","POP","TOT","AGRWTH","A","1988",1.64960697555822,
"AUS","POP","TOT","AGRWTH","A","1989",1.70729010430818,
"AUS","POP","TOT","AGRWTH","A","1990",1.49105386711022,
"AUS","POP","TOT","AGRWTH","A","1991",1.28277971310851,
"AUS","POP","TOT","AGRWTH","A","1992",1.12588865239577,
"AUS","POP","TOT","AGRWTH","A","1993",0.893507988467063,
